"PPEE"	"PPDE"	"PostFC"	"RealFC"	"C1Mean"	"C2Mean"
"NM_198161"	0	1	0.290213115033457	0.289933826340865	626.282568593665	2160.11245448503
"NM_028607"	0	1	4.349857910137	4.36015961243887	711.945566664814	163.276583508024
"NR_131196"	0	1	4.31549717075615	4.3276299509251	593.832891730224	137.211273182861
"NM_138313"	0	1	0.228377142760714	0.228272064474306	841.73002866535	3687.4321344715
"NM_007553"	0	1	0.244364980740599	0.244229791822784	685.482545168977	2806.74236240785
"NM_001024919"	0	1	0.272599447968434	0.272240485301062	277.009387419688	1017.5439729638
"NM_023336"	0	1	0.247236314827314	0.247074015432675	974.02056933873	3942.25227162339
"NM_020508"	0	1	0.260439455629899	0.260307437956623	1239.44850193941	4761.50781012861
"NM_001079873"	0	1	4.00362123141718	4.01165835696666	1274.29124450265	317.639493329784
"NM_181279"	0	1	0.213264101645702	0.212647669173779	230.668883102151	1084.78384701666
"NM_025686"	0	1	3.98255198136173	3.98792569398222	1111.44978497763	278.696242359234
"NM_001103179"	0	1	0.253924086457973	0.253817326505795	1507.6370008522	5939.88000517576
"NM_009763"	0	1	0.24652137290739	0.246318196576699	458.688619252188	1862.20978573701
"NM_145534"	0	1	0.232714803390132	0.232547404108847	905.969728206931	3895.88267478073
"NM_001037758"	0	1	150.724094964128	12876.8275833856	128.758275833856	0
"NM_009772"	0	1	0.256578502346452	0.256392256488216	869.865602763651	3392.74302100877
"NM_025824"	0	1	0.262625878179138	0.262462134228356	593.492284368529	2261.27727526139
"NR_040482"	0	1	0.260336594887839	0.259557815886096	123.780444414031	476.918209583774
"NM_009777"	0	1	0.247184872218319	0.24672715284173	203.759461938676	825.87989331624
"NM_007574"	0	1	0.275779481288692	0.275316207993207	216.111736938412	784.984601348513
"NM_183175"	0	1	0.270523941196682	0.270283337982673	411.482575876353	1522.43891952139
"NM_013484"	0	1	4.00440234136107	4.00733442751344	2061.90170507534	514.524472321232
"NR_046016"	0	1	0.240401219969666	0.240067461415606	274.34840224284	1142.82876967345
"NM_001285867"	0	1	0.249498138207454	0.249343476359197	1028.40959352378	4124.49972666423
"NM_001243742"	0	1	4.45398490760748	4.46038202497722	2046.96212025868	458.913049370224
"NR_027385"	0	1	3.54941103520211	3.55550515762673	1264.24230407499	355.566000603769
"NM_026368"	0	1	4.04268700220552	4.04648711819755	1626.93061188969	402.052471562836
"NM_001255997"	0	1	0.240501421912791	0.240440649729757	2554.06575695484	10622.4690185249
"NM_001177888"	0	1	0.246912380410874	0.246815426882486	1629.50343130259	6602.14389242438
"NM_001309519"	0	1	0.242964931307562	0.242559878442451	385.314842840356	1588.56617061256
"NR_045533"	0	1	0.242964931307562	0.242559878442451	385.314842840356	1588.56617061256
"NM_001044741"	0	1	0.240355538414478	0.240030929589642	477.432432897185	1989.07713020202
